Timestamp,EnvelopeFreq,A_CarrierFreq,B_CarrierFreq,TrialSet,Wave1,Wave2,Wave3,Wave1_Amplitude,Wave2_Amplitude,Wave3_Amplitude,UserAnswer,ResponseTime_ms
2025-07-13 23:37:32,6,0,18,1,A,B,B,1.000,1.000,1.000,Wave2,942
2025-07-13 23:37:40,6,0,18,2,A,B,A,1.000,1.000,1.000,Wave1,169
2025-07-13 23:37:51,6,0,18,3,A,A,B,1.000,1.000,1.000,Same,2270
2025-07-13 23:38:00,6,0,18,4,B,B,A,1.000,1.000,1.000,Same,792
2025-07-13 23:38:09,6,120,60,1,B,A,A,1.000,1.000,1.000,Wave2,1572
2025-07-13 23:38:20,6,120,60,2,A,A,B,1.000,1.000,1.000,Same,2075
2025-07-13 23:38:28,6,120,60,3,B,B,B,1.000,1.000,1.000,Same,686
2025-07-13 23:38:38,6,120,60,4,B,A,B,1.000,1.000,1.000,Wave1,1065
2025-07-13 23:38:47,6,200,120,1,A,A,A,1.000,1.000,1.000,Same,1036
2025-07-13 23:38:56,6,200,120,2,A,B,A,1.000,1.000,1.000,Wave1,1299
2025-07-13 23:39:06,6,200,120,3,A,A,A,1.000,1.000,1.000,Same,1022
2025-07-13 23:39:18,6,200,120,4,B,A,A,1.000,1.000,1.000,Wave2,4042
2025-07-13 23:39:27,6,30,18,1,B,B,B,1.000,1.000,1.000,Same,647
2025-07-13 23:39:36,6,30,18,2,A,B,A,1.000,1.000,1.000,Same,1804
2025-07-13 23:39:46,6,30,18,3,B,B,A,1.000,1.000,1.000,Same,1117
2025-07-13 23:40:02,6,30,18,4,A,B,A,1.000,1.000,1.000,Wave1,8174
2025-07-13 23:40:11,6,0,120,1,B,A,A,1.000,1.000,1.000,Wave2,860
2025-07-13 23:40:19,6,0,120,2,B,B,B,1.000,1.000,1.000,Same,35
2025-07-13 23:40:29,6,0,120,3,A,B,A,1.000,1.000,1.000,Wave1,2032
2025-07-13 23:40:38,6,0,120,4,A,A,A,1.000,1.000,1.000,Same,593
2025-07-13 23:40:48,6,120,60,1,A,B,B,1.000,1.000,1.000,Wave2,1393
2025-07-13 23:40:57,6,120,60,2,B,A,B,1.000,1.000,1.000,Wave1,1703
2025-07-13 23:41:06,6,120,60,3,A,A,A,1.000,1.000,1.000,Same,861
2025-07-13 23:41:17,6,120,60,4,B,A,B,1.000,1.000,1.000,Wave1,2294
2025-07-13 23:41:27,6,60,30,1,B,B,B,1.000,1.000,1.000,Same,2294
2025-07-13 23:41:36,6,60,30,2,B,A,B,1.000,1.000,1.000,Wave1,952
2025-07-13 23:41:45,6,60,30,3,B,B,A,1.000,1.000,1.000,Same,833
2025-07-13 23:41:54,6,60,30,4,B,B,A,1.000,1.000,1.000,Same,654
2025-07-13 23:42:03,6,200,30,1,B,A,B,1.000,1.000,1.000,Wave1,605
2025-07-13 23:42:12,6,200,30,2,B,A,B,1.000,1.000,1.000,Wave2,1044
2025-07-13 23:42:21,6,200,30,3,A,A,A,1.000,1.000,1.000,Same,587
2025-07-13 23:42:29,6,200,30,4,A,B,B,1.000,1.000,1.000,Wave2,537
2025-07-13 23:42:39,6,30,200,1,A,A,B,1.000,1.000,1.000,Same,1690
2025-07-13 23:42:48,6,30,200,2,B,B,A,1.000,1.000,1.000,Same,549
2025-07-13 23:42:57,6,30,200,3,B,B,B,1.000,1.000,1.000,Same,650
2025-07-13 23:43:07,6,30,200,4,A,B,B,1.000,1.000,1.000,Wave2,2117
2025-07-13 23:43:17,6,60,0,1,A,A,A,1.000,1.000,1.000,Same,1686
2025-07-13 23:43:25,6,60,0,2,A,B,A,1.000,1.000,1.000,Wave1,615
2025-07-13 23:43:34,6,60,0,3,B,B,B,1.000,1.000,1.000,Same,106
2025-07-13 23:43:42,6,60,0,4,B,B,B,1.000,1.000,1.000,Same,628
2025-07-13 23:43:51,6,0,30,1,B,B,A,1.000,1.000,1.000,Same,893
2025-07-13 23:44:00,6,0,30,2,B,A,A,1.000,1.000,1.000,Wave2,502
2025-07-13 23:44:09,6,0,30,3,B,B,A,1.000,1.000,1.000,Same,1329
2025-07-13 23:44:19,6,0,30,4,A,B,B,1.000,1.000,1.000,Wave2,1170
2025-07-13 23:44:29,6,18,0,1,B,A,B,1.000,1.000,1.000,Wave1,2595
2025-07-13 23:44:38,6,18,0,2,B,B,A,1.000,1.000,1.000,Same,46
2025-07-13 23:44:46,6,18,0,3,B,B,B,1.000,1.000,1.000,Same,603
2025-07-13 23:44:55,6,18,0,4,B,B,A,1.000,1.000,1.000,Same,576
2025-07-13 23:45:03,6,18,60,1,B,A,A,1.000,1.000,1.000,Wave2,402
2025-07-13 23:45:12,6,18,60,2,A,B,B,1.000,1.000,1.000,Wave2,477
2025-07-13 23:45:26,6,18,60,3,B,A,B,1.000,1.000,1.000,Wave1,5504
2025-07-13 23:45:34,6,18,60,4,A,B,A,1.000,1.000,1.000,Wave1,307
2025-07-13 23:45:43,6,200,120,1,A,B,A,1.000,1.000,1.000,Wave1,702
2025-07-13 23:45:52,6,200,120,2,B,A,A,1.000,1.000,1.000,Wave2,1301
2025-07-13 23:46:04,6,200,120,3,A,B,A,1.000,1.000,1.000,Wave1,3318
2025-07-13 23:46:13,6,200,120,4,A,B,B,1.000,1.000,1.000,Wave2,651
